Data,ABT,ADBE,AMZN,AAPL,BAC,CVX,CSCO,KO,CMCSA,COST,LLY,XOM,HD,JNJ,JPM,MCD,MSFT,NEE,NKE,NVDA,ORCL,PEP,PFE,PG,SCHW,TMO,UNH,WMT,DIS,WFC
1T2005,2.903565119,-,3.155339806,5.785777866,0.387299864,2.816195735,-,3.169481875,0.143901456,-,3.169576199,3.905551249,-,5.37596885,0.192140405,2.672761989,12.90682761,0.466891593,-,-,-,3.180914513,0.247285151,9.131840954,0.312466329,1.374497357,2.760649231,-,2.726760768,0.426036916
2T2005,6.165031702,12.45952447,4.998077662,8.62890923,0.721398025,6.462035541,12.36679423,9.181885572,0.560053917,4.221042271,2.069206989,7.68026321,2.972090474,10.27074588,0.278156517,4.663773198,17.30424345,1.134429949,13.77820233,3.941302457,13.95079035,7.094731168,3.354491796,11.79482179,0.712210866,2.638343798,5.567827215,2.069304095,4.451495584,0.865784942
3T2005,8.309293493,17.13957848,5.649717514,11.55744091,1.047546873,8.026664744,16.94360004,13.412308,0.775651131,6.43765924,5.156551118,12.12086534,7.062709363,14.54378336,0.48086794,7.160352828,4.39534298,2.018190465,4.742367564,8.059226324,2.648499694,9.612272639,4.858486719,3.277549834,1.185727195,4.023618828,8.182920259,4.330541418,5.098009707,1.265948392
4T2005,11.57146807,24.70332723,9.713203463,3.984204217,1.274575148,11.28082459,3.971028185,16.55622388,0.918116068,1.241602051,8.053440083,17.34226126,10.19252295,17.94226627,0.707540482,8.677239503,10.10155077,2.681493152,8.020472217,11.32833529,6.802439781,12.85340562,6.890656233,3.351108246,1.531118667,5.250249967,7.97602359,5.955280389,1.397506848,1.592349416
1T2006,3.031326779,1.811045079,1.705685619,7.008841924,0.362597085,3.14880491,7.833115417,3.710039918,0.462216698,2.981101176,3.457172556,3.888852881,13.12440987,5.319234545,0.241973106,2.112407225,14.61543064,0.755268608,11.12815448,15.79836882,7.31098932,3.28773311,3.642914686,4.981574195,0.510268363,1.106102974,1.994497937,8.361857483,2.787930777,0.409806104
2T2006,4.336676613,4.147406719,2.306477093,9.573904989,0.723847957,6.400981835,9.368181607,9.693574959,0.904081949,4.32539838,6.780271407,8.488303697,2.817061827,10.04262994,0.498568902,4.901756625,18.10279179,1.439402914,14.10391505,4.195140954,11.64697372,7.563800675,5.854773644,6.399646266,1.054069048,2.269669362,4.015263575,1.918354273,4.536954361,0.822195886
3T2006,6.585517806,5.738789155,2.845777234,11.56059285,1.095561654,10.01632854,12.88237331,14.06254992,1.994035491,6.305862166,10.58151497,13.06112607,6.463327474,14.50896502,0.74123954,7.469217495,5.321785966,2.89655568,3.941277885,8.188232687,2.322518026,11.95685861,9.115439517,1.968638954,1.612218922,3.420935164,6.402445588,3.362157085,5.928530951,1.303364837
4T2006,4.745278451,8.48310152,4.354801742,5.159036021,1.447726543,12.97463582,3.580653781,16.95424357,2.305149223,1.286363083,12.12776811,18.03529439,9.189024854,15.66557061,1.068722623,12.21135758,9.196787754,3.559223139,7.155219808,11.27264926,5.659072839,18.85065152,16.84909916,4.049526584,2.504490529,0.79453066,8.607201987,5.028487483,2.797042284,1.759765641
1T2007,1.922324728,2.436424746,3.031958481,9.481053926,0.349830277,3.487346147,7.629610412,3.810386473,0.754959805,2.713294302,2.143401887,4.155862767,11.02309473,3.521473736,0.339764273,2.586730453,17.26377737,0.422119038,10.31061006,16.77719163,9.091218632,3.674153537,3.072870939,5.948634806,0.577435594,0.656058266,1.817326354,7.744406156,4.429158628,0.46182247
2T2007,4.53872076,4.829831539,4.743975904,11.97394558,0.717954533,7.264730742,11.06378622,7.784640776,1.272165842,3.635645241,4.873293537,8.558351401,1.865159323,7.570665346,0.618706457,0.174858337,22.26496335,1.486222317,13.95451101,4.722071872,12.36260558,8.310101801,4.224522884,7.491993566,1.152967105,1.423460777,4.054257441,1.882616361,6.514488746,0.837802043
