Data,ABT,ADBE,AMZN,AAPL,BAC,CVX,CSCO,KO,CMCSA,COST,LLY,XOM,HD,JNJ,JPM,MCD,MSFT,NEE,NKE,NVDA,ORCL,PEP,PFE,PG,SCHW,TMO,UNH,WMT,DIS,WFC
12/31/2004,72652350.94,14971459.74,18072622.24,25892525.93,189800906.6,111248326.5,127217153.2,100745294.9,73617666.6,22868502.53,64220518.93,330693413,93855105.12,188213195.8,138971689.5,40306004.36,290719535.9,13872749.79,23947904.58,3915976.065,71685155.84,87929837.47,202508466.9,138943903.2,16109828.15,4828899.557,57538921.7,223685678.4,56803274.68,105149682.7
1/3/2005,72683498.78,14720901.36,18166474.19,25446241.71,187660143,107837360.8,127217153.2,100503351.4,72710718.19,22627582.55,63654699.38,323145397.2,94645648.82,186669978.2,139470434.4,40004275.06,290937140.4,13714999.46,23947904.58,3919300.324,70065447.51,87491872.76,199194828.9,139221387.4,15705735.47,4747324.904,56617305.43,225930158,56905438.85,104743634
1/4/2005,71951524.4,14331939.3,17195310.48,25707579.31,185075070,107095846.6,122212751.7,99100078.78,70852579.97,22221325.33,62805970.05,320951956.7,93437873.72,186076432.9,136834211.6,40331148.46,292025162.6,13547969.7,23607262.86,3734803.998,68236744.55,86868615.29,199194828.9,137480804.7,15342052.06,4688143.293,56035576.02,225379625.3,56292453.87,104828227.5
1/5/2005,71126106.48,14253192.38,17044331.25,25932731.71,182934306.4,107794988.6,122278599.1,98640386.03,71516200.76,22306355.91,63462320.73,319274619.8,92581451.38,185957723.9,137119208.7,40016847.12,291372349.3,13373516.39,23324715.09,3769708.708,68445739.18,86969684.07,197839249.8,138918677.4,15247763.77,4675347.269,56231664.59,225676066,55985961.38,104946658.3
1/6/2005,72730220.55,14016951.62,16750533.82,25952834.61,182651564,109595809,124122326,99462994.1,71405597.3,22627582.55,63971558.32,323338936,91197999.9,186491914.6,137902950.6,40331148.46,291045942.6,13590655.08,23295668.12,3733141.869,69072723.05,87592941.54,197989869.7,139599774.9,15503689.13,4678546.275,57473558.84,228894564.9,56067692.71,105318869.6
1/7/2005,73976134.39,14026496.71,17268759.84,27842506.53,180672367.5,108367013.9,123266309.9,99583965.88,72047097.39,22433901.78,63666015.77,321210008.5,90956444.88,185809337.6,136798587,40067135.33,290175524.8,13564672.67,23158355.18,3661670.319,69647458.26,88350957.38,198065179.6,141062873.4,15449810.11,4609767.646,57016018.85,228640472.9,55516006.23,105183520
1/10/2005,74692534.85,14036041.79,17072894.89,27725909.75,182934306.4,108854294.7,123266309.9,100140436,73507063.14,22476417.07,64435530.35,322435754.6,91790907.67,187263523.4,136335466.7,39815694.26,291589953.7,13611069.83,23388090.29,3669980.965,68915977.08,90557625.72,199119519,142172810.2,15544098.4,4622563.67,57257861.42,227497058.8,55740767.39,105115845.3
1/11/2005,73322029.63,13869002.87,16991284.49,25956855.18,182489997,108896666.9,122739530.8,99583965.88,73484942.45,22353595.12,64537377.87,321597086.2,91593271.75,186610623.6,135017355.4,39099087.19,290828338.2,13455175.39,23277183.69,3556956.188,68968225.74,90069126.62,196935530.3,142021455.2,15086126.7,4614566.155,57199034.85,226946526.1,55597737.56,104912820.9
1/12/2005,73088420.78,14074222.11,17260598.8,26318707.25,182005295.8,111205954.2,124649105.1,99583965.88,73440701.06,22452797.46,65386107.2,326371045,92669289.56,187916423.2,135337977,39400816.48,291372349.3,13520131.4,23393371.56,3527037.865,70431188.1,90304953.77,196031810.9,142551197.7,15126535.97,4622563.67,57578139.41,229021610.9,56639812.02,103508569.3
1/13/2005,71686767.71,13892865.57,17383014.39,28063638.35,179743356.9,110294951,123661394.3,98567802.96,73352218.29,22551999.81,63847078.02,326112993.1,91637190.84,183909992.8,134554235.1,38835074.07,285823436,13585087.42,23242855.45,3563604.705,70431188.1,89142662.81,190760114.1,140079065.8,14789792.07,4568180.568,57780764.26,227158269.4,56701110.52,102594959.9
1/14/2005,72029394.01,13895251.84,18178715.75,28224461.49,181318635.8,110803417.9,124319868.1,99124273.13,74259166.7,22802367.63,64786338.48,329467666.9,92010503.15,186076432.9,134696733.7,39363100.32,284191402.6,13592510.97,23488434.36,3575239.608,71214917.94,88991059.65,190157634.4,140961970.1,14978368.65,4676946.772,58538973.39,228640472.9,57824916.32,102679553.3
1/17/2005,72029394.01,13895251.84,18178715.75,28224461.49,181318635.8,110803417.9,124319868.1,99124273.13,74259166.7,22802367.63,64786338.48,329467666.9,92010503.15,186076432.9,134696733.7,39363100.32,284191402.6,13592510.97,23488434.36,3575239.608,71214917.94,88991059.65,190157634.4,140961970.1,14978368.65,4676946.772,58538973.39,228640472.9,57824916.32,102679553.3
1/18/2005,71702341.63,13931045.89,18190957.31,28405387.53,184711544.1,112477121.5,123398004.7,99801715.08,74237046.01,23213348.78,65114513.81,332241724,92581451.38,187055782.6,136798587,39727689.88,286367447.1,13750261.3,23422418.52,3631751.996,71998647.78,90102816.21,190534184.2,141239454.3,15342052.06,4697740.311,58042215.68,230757906.4,58723960.95,103982292.8
1/19/2005,71717915.55,13811732.38,17937965.09,28095802.98,181641769.9,111629676.7,119513008.8,99438799.75,73042528.58,22844882.92,64503428.7,329338640.9,91790907.67,186432560.1,134803607.6,39752833.99,282668171.5,13694584.71,23382809.02,3548645.543,70378939.44,91012435.22,187371166.1,142980036.9,15140005.72,4582576.095,57702328.84,227751150.8,58233572.97,103204032.9
1/20/2005,71250697.86,13857071.52,17285081.92,28328996.53,183015089.9,110083089.8,120632414.4,99995269.92,72423149.18,22575619.42,63858394.41,327209713.4,90363537.1,185453210.4,132701754.3,39539109.08,281362544.9,13752117.19,22920698.17,3556956.188,69386214.98,90203884.99,188124265.7,143030488.6,15059187.19,4769717.946,56623841.72,226014855.3,58274438.63,102425772.9
1/21/2005,71608898.09,13936522.36,16795419.54,28341058.27,182126471.1,110125462,118591145.4,98979107,72887683.73,21970957.5,62602275.01,325403350.6,89814548.42,183553865.7,131276769,39287668,279077698.2,13846767.39,22788666.5,3563604.705,69542960.95,90237574.58,184358768,140381775.8,14749382.8,4788911.982,58074897.11,224490303.2,57518423.83,101715187.8
1/24/2005,71531028.48,13526265.53,16477138.99,28449613.89,182651564,111375443.2,116879113.3,99100078.78,72998287.2,21928442.21,62059088.24,329854744.6,88694611.5,182485484.2,131383642.9,39903698.63,279295302.7,13854190.93,22791307.13,3420661.606,69177220.36,89799609.88,182701949,139271839.1,14884080.36,4763319.934,57682719.98,224744395.2,57109767.17,101427570
1/25/2005,71499880.63,13572663.62,16705648.1,29438619.14,184146059.4,112371190.9,115298776,99777520.72,73330097.59,22240221.01,62070404.64,331145003.7,89089883.36,189103513.7,131312393.6,40155139.71,283103380.4,13702008.26,22680400.53,3480498.252,71005923.31,89934368.25,185187177.5,140583582.5,15045717.43,4758521.425,57355905.7,225633717.3,58846557.95,102070480.4
1/26/2005,71468732.79,13677669.84,16868868.9,29520336.33,184873111.2,113430497,116484029,100842072.3,73263735.51,22372490.8,62805970.05,333531983.1,89441236.11,191863499,131205519.7,40217999.98,282994578.2,13946985.24,22484993.66,3525375.736,71162669.28,89968057.84,185187177.5,139852033.3,15220824.26,4760120.928,57388587.13,225633717.3,58397035.63,102984089.8
1/27/2005,70799054.09,13716741.92,17264679.32,29679684.86,183903708.8,114532175.4,119710551,101035627.2,72312545.71,22311079.83,62885184.79,333854547.9,89287519.28,190587376.8,130920522.7,40381436.68,284082600.4,13952552.9,22828276,3807937.677,72991372.24,90052281.82,185864967,139549323.3,15207354.5,4756921.922,57819981.98,224786743.9,57824916.32,102239667.3
1/28/2005,70503149.56,13548243.57,17227954.64,30227190.06,184590368.8,113811847.2,117866824.1,100382379.6,71361355.91,22339423.36,60633222.98,330757926,88738530.6,191774467.2,131811138.5,40230572.03,284844216,14023076.58,22838838.54,3802951.289,71476161.22,89648006.71,183379738.6,136597900.5,14951429.14,4750871.97,57617357.12,222034080.3,57681886.49,102391935.5
1/31/2005,70183464.48,13895008.28,17636006.62,31420261.09,187296617.1,115252503.5,118788687.6,100382379.6,71206511.06,22329975.51,61380104.78,329484481.6,90605092.12,192011885.3,132659662.7,41203879.77,285932238.2,14279775.64,22875807.4,3809599.806,71946399.12,90456556.94,181948849.4,134277123.6,15140005.72,4815203.344,58107578.54,221907034.3,58499199.79,103711593.7
2/1/2005,71009702.52,14139208.78,17334048.15,31677670.25,188548761.8,116841462.7,119381314,100213019.1,69901390.17,22183533.96,61968557.12,340148029.7,90341577.55,194148648.2,133263791.9,40682311.67,287129062.6,14475414.53,22991995.28,3881071.355,71319415.25,90759763.27,179689550.8,133368993.5,15032247.67,4810378.491,59271037.37,222796356.3,58846557.95,104557528.4
2/2/2005,71150007.09,15211248.96,17089216.96,32535700.79,188750720.7,117646535.3,119513008.8,101422736.9,70697735.12,22282736.3,62398579.97,344362366.1,90692930.31,195869929.4,133334865.9,40415167.03,287890678.2,14570439.13,22894291.84,4097148.133,70849177.35,91197727.98,181271059.8,134705962.8,14937959.38,4823244.766,58826569.95,224702046.5,58907856.44,102831821.6
2/3/2005,71181185.88,15487195.52,14587858.32,31792074.33,187417792.4,119150750,115364623.4,100987238.5,71029545.51,21904822.6,62093037.42,348129727.4,91285838.09,194831225.2,132872884.8,40784081.06,284844216,14674779.87,22867885.5,4053932.777,69699706.92,91517779.11,180066100.6,134302349.4,14412638.9,4310202.058,59192601.94,226226598.7,58846557.95,103288626.3
2/4/2005,70962934.33,15626389.8,14575616.76,32212917.88,189396988.9,120210056.1,117866824.1,102753426.4,71073786.9,21815068.1,62274099.67,353046453.2,93152399.6,196582183.7,133938995.1,41432860.88,286367447.1,14849923.25,22984073.38,4286630.846,71371663.91,93168569.17,182476019.1,132738347.6,13981606.71,4454947.65,59983492.49,226395993.4,60008655.89,103170195.5
