Data,ABT,ADBE,AMZN,AAPL,BAC,CVX,CSCO,KO,CMCSA,COST,LLY,XOM,HD,JNJ,JPM,MCD,MSFT,NEE,NKE,NVDA,ORCL,PEP,PFE,PG,SCHW,TMO,UNH,WMT,DIS,WFC
12/31/2004,22.64563107,34.47252747,31.86330935,92,12.73441734,8.361464968,92,20.82,77.39534884,121.025,34.18674699,13.17737789,24.01123596,26.09876543,25.16774194,17.91061453,48.58181818,15.22403259,41.60091743,78.53333333,54.88,21.39344262,18.04697987,37.46938776,56.95238095,13.9124424,22.34263959,31.81927711,24.82142857,15.19559902
1/3/2005,22.65533981,33.8956044,32.02877698,90.41428571,12.59078591,8.105095541,92,20.77,76.44186047,119.75,33.88554217,12.87660668,24.21348315,22.14788732,25.25806452,17.77653631,48.61818182,15.0509165,41.60091743,78.6,53.64,21.28688525,17.75167785,37.54421769,55.52380952,13.67741935,21.98477157,32.13855422,79.57142857,15.13691932
1/4/2005,22.42718447,33,30.31654676,91.34285714,12.41734417,8.049363057,88.38095238,20.48,74.48837209,117.6,33.43373494,12.78920308,23.90449438,22.07746479,24.78064516,17.92178771,48.8,14.86761711,41.00917431,74.9,52.24,21.1352459,17.75167785,37.07482993,54.23809524,13.50691244,21.75888325,32.06024096,78.71428571,15.14914425
1/5/2005,22.16990291,32.81868132,30.05035971,92.14285714,12.27371274,8.101910828,88.42857143,20.385,75.18604651,118.05,33.78313253,12.72236504,23.68539326,22.06338028,24.83225807,17.78212291,48.69090909,14.67617108,40.51834862,75.6,52.4,21.15983607,17.63087248,37.46258503,53.90476191,13.47004608,21.83502538,32.10240964,78.28571429,15.16625917
1/6/2005,22.66990291,32.27472528,29.5323741,92.21428571,12.25474255,8.237261147,89.76190476,20.555,75.06976744,119.75,34.05421687,12.88431877,23.33146067,22.12676056,24.97419355,17.92178771,48.63636364,14.91446029,40.46788991,74.86666667,52.88,21.31147541,17.6442953,37.6462585,54.80952381,13.47926267,22.31725888,32.56024096,78.4,15.2200489
1/7/2005,23.05825243,32.2967033,30.44604317,98.92857143,12.12195122,8.144904459,89.14285714,20.58,75.74418605,118.725,33.89156627,12.79948586,23.26966292,22.04577465,24.77419355,17.80446927,48.49090909,14.88594705,40.2293578,73.43333333,53.32,21.49590164,17.65100671,38.04081633,54.61904762,13.28110599,22.13959391,32.52409639,77.62857143,15.200489
1/10/2005,23.2815534,32.31868132,30.10071942,98.51428571,12.27371274,8.181528662,89.14285714,20.695,77.27906977,118.95,34.30120482,12.84832905,23.48314607,22.21830986,24.69032258,17.69273743,48.72727273,14.93686354,40.62844037,73.6,52.76,22.03278689,17.74496644,38.34013605,54.95238095,13.31797235,22.23350254,32.36144578,77.94285714,15.19070905
1/11/2005,22.85436893,31.93406593,29.95683453,92.22857143,12.24390244,8.184713376,88.76190476,20.58,77.25581395,118.3,34.35542169,12.81491003,23.43258427,22.14084507,24.4516129,17.37430168,48.6,14.76578411,40.43577982,71.33333333,52.8,21.91393443,17.55033557,38.29931973,53.33333333,13.29493088,22.2106599,32.28313253,77.74285714,15.16136919
1/12/2005,22.7815534,32.40659341,30.43165468,93.51428571,12.21138211,8.358280255,90.14285714,20.58,77.20930233,118.825,34.80722892,13.00514139,23.70786517,22.29577465,24.50967742,17.50837989,48.69090909,14.83706721,40.63761468,70.73333333,53.92,21.97131148,17.46979866,38.44217687,53.47619048,13.31797235,22.35786802,32.57831325,79.2,14.95843521
1/13/2005,22.34466019,31.98901099,30.64748201,99.71428571,12.0596206,8.289808917,89.42857143,20.37,77.11627907,119.35,33.98795181,12.99485861,23.44382023,21.82042254,24.36774194,17.25698324,47.76363636,14.90835031,40.37614679,71.46666667,53.92,21.68852459,17,37.7755102,52.28571429,13.16129032,22.43654822,32.31325301,79.28571429,14.82640587
1/14/2005,22.45145631,31.9945055,32.05035971,100.2857143,12.16531165,8.328025478,89.90476191,20.485,78.06976744,120.675,34.48795181,13.1285347,23.53932584,22.07746479,24.39354839,17.49162011,47.49090909,14.91649695,40.80275229,71.7,54.52,21.65163934,16.94630873,38.01360544,52.95238095,13.47465438,22.73096447,32.52409639,80.85714286,14.83863081
1/17/2005,22.45145631,31.9945055,32.05035971,100.2857143,12.16531165,8.328025478,89.90476191,20.485,78.06976744,120.675,34.48795181,13.1285347,23.53932584,22.07746479,24.39354839,17.49162011,47.49090909,14.91649695,40.80275229,71.7,54.52,21.65163934,16.94630873,38.01360544,52.95238095,13.47465438,22.73096447,32.52409639,80.85714286,14.83863081
1/18/2005,22.34951456,32.07692308,32.07194245,100.9285714,12.39295393,8.453821656,89.23809524,20.625,78.04651163,122.85,34.6626506,13.23907455,23.68539326,22.19366197,24.77419355,17.65363129,47.85454546,15.08961303,40.68807339,72.83333333,55.12,21.92213115,16.97986577,38.08843537,54.23809524,13.53456221,22.53807107,32.82530121,82.11428571,15.02689487
1/19/2005,22.35436893,31.8021978,31.62589928,99.82857143,12.18699187,8.390127389,86.42857143,20.55,76.79069767,120.9,34.3373494,13.12339332,23.48314607,22.11971831,24.41290323,17.66480447,47.23636364,15.02851324,40.61926606,71.16666667,53.88,22.14344262,16.69798658,38.55782313,53.52380952,13.20276498,22.40609137,32.39759036,81.42857143,14.91442543
1/20/2005,22.20873786,31.90659341,30.47482014,100.6571429,12.27913279,8.27388535,87.23809524,20.665,76.13953488,119.475,33.9939759,13.03856041,23.11797753,22.00352113,24.03225807,17.5698324,47.01818182,15.09164969,39.81651376,71.33333333,53.12,21.94672131,16.76510067,38.57142857,53.23809524,13.74193548,21.98730965,32.15060241,81.48571429,14.80195599
1/21/2005,22.32038835,31.35714286,29.61151079,100.7,12.2195122,8.277070064,85.76190476,20.455,76.62790698,116.275,33.32530121,12.96658098,22.97752809,21.77816901,23.77419355,17.45810056,46.63636364,15.19551935,39.58715596,71.46666667,53.24,21.95491803,16.4295302,37.85714286,52.14285714,13.79723502,22.55076142,31.93373494,80.42857143,14.6992665
1/24/2005,22.29611651,30.43406593,29.05035971,101.0857143,12.25474255,8.371019108,84.52380952,20.48,76.74418605,116.05,33.03614458,13.14395887,22.69101124,21.65140845,23.79354839,17.73184358,46.67272727,15.20366599,39.59174312,68.6,52.96,21.84836066,16.2818792,37.55782313,52.61904762,13.7235023,22.39847716,31.96987952,79.85714286,14.65770171
1/25/2005,22.28640777,30.53846154,29.45323741,102.9285714,12.35501355,8.445859873,83.38095238,20.62,77.09302326,117.7,33.04216868,13.19537275,22.79213483,22.43661972,23.78064516,17.84357542,47.30909091,15.03665988,39.39908257,69.8,54.36,21.88114754,16.50335571,37.91156463,53.19047619,13.70967742,22.2715736,32.09638554,82.28571429,14.75061125
1/26/2005,22.27669903,30.77472528,29.74100719,103.2142857,12.40379404,8.525477707,84.23809524,20.84,77.02325581,118.4,33.43373494,13.29048843,22.88202247,22.76408451,23.76129032,17.87150838,47.29090909,15.30549898,39.05963303,70.7,54.48,21.88934426,16.50335571,37.71428571,53.80952381,13.71428571,22.28426396,32.09638554,81.65714286,14.88264059
1/27/2005,22.06796117,30.86263736,30.43884892,103.7714286,12.33875339,8.608280255,86.57142857,20.88,76.02325581,118.075,33.47590361,13.3033419,22.84269663,22.61267606,23.70967742,17.94413408,47.47272727,15.31160896,39.6559633,76.36666667,55.88,21.90983607,16.56375839,37.63265306,53.76190476,13.70506912,22.45177665,31.97590361,80.85714286,14.77506112
1/28/2005,21.97572816,30.48351648,30.37410072,105.6857143,12.38482385,8.554140127,85.23809524,20.745,75.02325581,118.225,32.27710843,13.17994859,22.70224719,22.75352113,23.87096774,17.87709497,47.6,15.38900204,39.67431193,76.26666667,54.72,21.81147541,16.34228188,36.83673469,52.85714286,13.61290323,22.37309645,31.58433735,80.65714286,14.79706601
1/31/2005,21.85436893,31.26373626,31.09352518,109.8571429,12.56639566,8.662420382,42.95238095,20.745,74.86046512,118.175,32.6746988,13.26478149,18.25663717,22.78169014,24.08387097,18.09497207,47.78181818,15.6089613,39.73853211,40.21052632,55.08,22.00819672,16.2147651,36.21088435,53.52380952,13.79723502,22.56345178,21.74273859,81.8,14.98777506
2/1/2005,22.11165049,31.81318681,30.56115108,110.7571429,12.6504065,8.781847134,43.16666667,20.71,73.48837209,117.4,32.98795181,13.6940874,18.20353982,23.03521127,24.19354839,17.86592179,47.98181818,15.82281059,39.94036697,40.96491228,54.6,22.08196721,16.01342282,35.9659864,53.14285714,13.78341014,23.01522843,21.82987552,82.28571429,15.11002445
2/2/2005,22.15533981,34.22527473,30.1294964,113.7571429,12.66395664,8.842356688,43.21428571,20.96,74.3255814,117.925,33.21686747,13.86375321,18.27433628,23.23943662,24.20645161,17.74860335,48.10909091,15.92668024,39.7706422,43.24561404,54.24,22.18852459,16.15436242,36.32653061,52.80952381,13.8202765,22.84263959,22.01659751,82.37142857,14.8606357
2/3/2005,22.16504854,34.84615385,25.71942446,111.1571429,12.57452575,8.955414013,41.71428571,20.87,74.67441861,115.925,33.05421687,14.01542416,18.39380531,23.11619718,24.12258065,17.91061453,47.6,16.0407332,39.72477064,42.78947368,53.36,22.26639344,16.04697987,36.21768708,50.95238095,12.35023041,22.98477157,22.1659751,82.28571429,14.92665037
2/4/2005,22.09708738,35.15934066,25.69784173,112.6285714,12.70731707,9.035031847,42.61904762,21.235,74.72093023,115.45,33.15060241,14.21336761,18.7699115,23.32394366,24.31612903,18.19553073,47.85454546,16.23217923,39.92660551,45.24561404,54.64,22.66803279,16.26174497,35.79591837,49.42857143,12.76497696,23.29187817,22.18257261,83.74285714,14.90953545
2/7/2005,22.13106796,34.9010989,25.67625899,112.7714286,12.6395664,8.958598726,43.23809524,21.245,73.95348837,115.25,33.57831325,14.24164524,18.81415929,23.39788732,24.49677419,18.31284916,47.56363636,16.13441955,39.5412844,44.70175439,54.2,22.41803279,16.71812081,35.73469388,49.80952381,13.06451613,22.57106599,22.2033195,85.37142857,15.01711491
2/8/2005,21.98058252,35,26.11510791,115.5714286,12.70731707,9.012738854,43.42857143,21.325,73.62790698,114.7,33.37349398,14.33933162,18.60619469,23.3556338,24.36129032,18.11173184,47.70909091,16.28105906,38.50917431,45.14035088,53.88,22.74590164,17.14765101,35.36054422,50,13.07373272,22.55583756,22.0746888,85.25714286,15.02200489
2/9/2005,21.9223301,34.39010989,25.82014389,112.4857143,12.58536585,8.942675159,41.97619048,21.38,73.06976744,113.775,32.92168675,14.27763496,18.52212389,23.30633803,24.19354839,17.8603352,47.4,16.16904277,38.19266055,43.56140351,52.68,22.53688525,16.81208054,35.04081633,50,12.69124424,22.12690355,21.79253112,83.85714286,14.89242054
2/10/2005,21.83495146,34.43956044,25.74100719,111.9428571,12.71815718,9.140127389,41.85714286,21.25,73.69767442,114.65,33.01204819,14.48329049,18.74778761,23.28521127,24.16129032,17.93296089,47.38181818,16.10997963,38.51376147,44.57894737,52.56,22.60655738,16.81208054,35.11564626,49.52380952,12.77880184,22.34263959,21.6846473,83.85714286,14.77506112
2/11/2005,22.42718447,35,25.74100719,116.0142857,12.68834688,9.261146497,42.14285714,21.38,73.3255814,116.1,33.43373494,14.42416452,18.94247788,23.45070423,24.18064516,18.01675978,47.21818182,16.03869654,38.83027523,45.87719298,53.4,22.58196721,16.87919463,35.47619048,51.28571429,12.82488479,22.2715736,21.61825726,83.82857143,14.74327628
2/14/2005,22.56796117,34.87362637,25.92086331,120.9,12.71815718,9.253184713,42.78571429,21.43,72.81395349,45.59803922,33.37349398,14.6092545,18.85840708,23.23943662,24.19354839,18.2178771,47.29090909,16.3095723,39.08715596,44.9122807,53.24,22.45901639,17.10067114,35.85034014,52.23809524,12.70506912,22.57614213,21.63900415,83.97142857,14.99022005
2/15/2005,22.75242718,35.66483517,26,126.3,12.75338753,9.262738854,42.66666667,21.325,75.25581395,46.07843137,33.59638554,14.63239075,18.90707965,23.20774648,24.22580645,18.52513967,47.14545455,16.25458249,39.12385321,45.31578947,53.16,22.39344262,16.9261745,36.38095238,52.14285714,12.61751152,22.89340102,21.86721992,84.51428571,14.98777506
2/16/2005,22.73300971,35.49450549,25.65467626,128.7571429,12.67479675,9.474522293,42.16666667,21.65,76.60465116,46.01960784,33.39156627,15.03341902,18.74778761,23.14788732,24.08387097,18.2122905,46.89090909,16.2892057,39.1880734,45.15789474,53.32,22.35245902,16.74496644,36.26530612,51.85714286,12.67281106,22.80964467,21.82572614,83.8,14.85574572
2/17/2005,22.60194175,34.65384615,25.67625899,125.4428571,12.56368564,9.332802548,41.54761905,21.5,75.90697674,45.19607843,33.21084337,14.94344473,18.5,23.01056338,23.72903226,18.03910615,46.63636364,16.21995927,39.08256881,44.75438597,51.84,22.0204918,16.81879195,36.27891157,51.76190476,12.69124424,22.59390863,21.86721992,83.85714286,14.76772616
2/18/2005,22.52427185,34.52197802,25.4028777,124.0142857,12.39566396,9.511146497,41.19047619,21.48,76.20930233,44.90196078,32.89156627,15.27249357,18.59292035,23.03873239,23.55483871,18.06145251,46.32727273,16.00814664,39.22477064,49.59649123,51.76,22.21311475,17.98657718,36.39455782,51.0952381,12.640553,22.60152284,21.87551867,83.02857143,14.62347188
2/21/2005,22.52427185,34.52197802,25.4028777,124.0142857,12.39566396,9.511146497,41.19047619,21.48,76.20930233,44.90196078,32.89156627,15.27249357,18.59292035,23.03873239,23.55483871,18.06145251,46.32727273,16.00814664,39.22477064,49.59649123,51.76,22.21311475,17.98657718,36.39455782,51.0952381,12.640553,22.60152284,21.87551867,83.02857143,14.62347188
2/22/2005,22.05825243,33.7967033,24.97841727,121.8428571,12.24932249,9.449044586,41.21428571,21.395,75.23255814,44.50980392,32.86746988,14.97429306,17.82300885,22.91197183,23.18064516,17.84916201,45.87272727,15.77393075,38.48623853,50.22807018,50.64,21.79508197,17.84563758,35.54421769,50.57142857,12.50691244,22.05583756,21.57676349,81.22857143,14.38386308
2/23/2005,22.2038835,33.92857143,24.56115108,126.0428571,12.39295393,9.579617834,41.14285714,21.29,76.34883721,44.75490196,33.03012048,15.27506427,17.58849558,23.03169014,23.53548387,18.12290503,45.81818182,15.67209776,38.94495413,48.59473684,51.8,21.89754098,17.65771812,36.3877551,50.23809524,12.56682028,22.42385787,21.41078838,81.85714286,14.54523227
2/24/2005,22.50485437,33.73076923,24.95683453,127.0428571,12.5203252,9.738853503,40.90476191,21.33,76.48837209,45.62745098,33.20481928,15.71465296,17.53097345,23.20070423,23.66451613,18.24022346,46.12727273,15.94297352,39.67889908,49.87719298,52.04,21.98770492,17.71812081,36.61904762,50.52380952,12.59447005,22.66497462,21.3526971,80.42857143,14.59413203
2/25/2005,22.46116505,33.75274725,25.17266187,127.1285714,12.6802168,9.863057325,40.95238095,21.51,75.86046512,45.65686275,33.63253012,16.2622108,17.95575221,23.31690141,23.8516129,18.42458101,45.90909091,16.23217923,40.02293578,50.59649123,52.52,22.11885246,18.02684564,36.86394558,51.04761905,12.64976959,23.19543147,21.36514523,79.68571429,14.64547677
2/28/2005,22.32524272,33.92857143,25.30935252,128.1714286,12.64227642,9.885350319,41.47619048,21.4,75.48837209,45.67647059,33.73493976,16.27506427,17.7079646,23.09859155,23.58064516,18.48044693,45.74545455,16.16089613,27.3427673,50.85964912,35.97222222,22.07377049,17.6442953,36.11564626,50,12.65437788,23.13705584,21.41493776,79.82857143,14.51833741
3/1/2005,22.31067961,34.25274725,25.46043166,127.1428571,12.75880759,9.703821656,41.66666667,21.635,76.46511628,45.79411765,34.03012048,15.96401028,17.72123894,23.46830986,23.92903226,18.62011173,45.96363636,16.3910387,27.61006289,50.73684211,36.52777778,22.15573771,17.8590604,36.40136054,50.85714286,12.58986175,23.05076142,21.593361,81.37142857,14.63325183
3/2/2005,22.3592233,34.25824176,25.53956835,126.06,12.62059621,9.804140127,42.23809524,21.52,76.44186047,44.1372549,33.94578313,16.11311054,17.69026549,23.57746479,23.86451613,18.59217877,45.92727273,16.15071283,27.45597484,49.24561404,36.25,22.1352459,17.8590604,36.45578231,52.04761905,12.53917051,23.2106599,21.5560166,81.97142857,14.54767726
3/3/2005,22.33495146,34.25824176,25.64748201,119.4,12.55555556,9.743630573,42.38095238,21.59,75.62790698,43.92156863,33.82530121,16.20822622,17.57522124,23.50352113,23.87741936,18.66480447,45.76363636,16.27291242,27.43710692,48.57894737,36.36111111,22.14344262,17.84563758,36.38095238,51.47619048,12.48387097,23.25888325,21.93360996,81.62857143,14.52567237
3/4/2005,22.52912621,106.2833333,25.79136691,122.3142857,12.67750678,9.826433121,42.95238095,21.82,76.25581395,43.88235294,34.19277108,16.34190231,17.73893805,23.85211268,24.2,18.97206704,45.76363636,16.48472505,27.54716981,48.36842105,36.88888889,22.1147541,18.02013423,36.63265306,52.04761905,12.65898618,23.67766498,22.03319502,82.51428571,14.79217604
3/7/2005,22.64563107,108.45,26.1294964,122.1428571,12.59349594,9.777070064,43.42857143,21.86,77.74418605,43.66666667,34.53012048,16.19537275,17.6460177,24.09859155,24.09032258,19.11173184,46.30909091,16.6598778,27.41509434,48.85964912,37.77777778,22.21721312,18.24161074,36.53061225,52.80952381,12.79262673,23.14720812,21.90041494,82.74285714,14.84841076
3/8/2005,22.57281553,108.25,25.77697842,115.8,12.53658537,9.792993631,43.14285714,21.71,78.25581395,45.15686275,34.18072289,16.22107969,17.68584071,24.01056338,23.83225807,18.70391062,46.18181818,16.60285132,27.20125786,46.38596491,37.83333333,22.06557377,17.95973154,36.29251701,52.19047619,12.76036866,22.93147208,21.75103734,81.51428571,14.86308068
3/9/2005,22.2815534,107.5166667,25.46690648,112.4285714,12.38482385,9.515923567,44.11904762,21.605,78.30232558,44.71568627,33.4939759,15.62724936,17.47345133,23.85915493,23.52903226,18.17318436,46.01818182,16.25050917,27.12893082,45.1754386,37.08333333,21.70901639,17.94630873,36.05442177,52.28571429,12.76036866,22.90609137,21.76348548,79.94285714,14.60635697
3/10/2005,22.47087379,108.85,25.11510791,113.8,12.42818428,9.313694268,44.54761905,21.535,78.20930233,43.87254902,33.46987952,15.51928021,17.65044248,23.94366197,23.45806452,18.29608939,46.23636364,16.3604888,27.26100629,45.15789474,36.83333333,21.78278689,17.95302013,36.23809524,52.42857143,12.73271889,23.20304569,21.63900415,80,14.72127139
3/11/2005,22.33009709,107.3666667,25,115.0571429,12.40379404,9.28343949,43.92857143,21.24,77.37209302,44.05882353,33.04216868,15.6940874,17.44247788,23.8028169,23.29677419,18.20670391,45.61818182,16.25458249,27.2327044,44.14035088,36.36111111,21.59836066,17.69127517,35.72108844,51.90476191,12.68663594,22.91370558,21.41078838,78.82857143,14.62102689
3/14/2005,22.38834952,108.9,24.89208633,115.2,12.41192412,9.385350319,44.14285714,21.17,79.04651163,44.76470588,32.34939759,15.75321337,17.46460177,23.88028169,23.51612903,18.41340782,45.65454545,16.58452139,26.96855346,45.38596491,36.52777778,21.61065574,17.80536913,36.2244898,51.61904762,12.71428571,22.96192893,21.28630705,80.05714286,14.69437653
3/15/2005,22.16504854,107.5666667,24.58992806,117.0285714,12.34146341,9.262738854,43.45238095,21.12,78.86046512,44.43137255,31.74698795,15.51413882,17.59292035,23.68309859,23.38709677,18.11731844,45.29090909,16.6191446,27.40566038,44.47368421,36.52777778,21.5204918,17.6442953,36,50.76190476,12.64976959,22.86294416,21.17427386,81.71428571,14.66503667
3/16/2005,22.04854369,105.3166667,24.36690648,117.6571429,12.14092141,9.332802548,43.02380952,20.97,78.1627907,43.7745098,31.39759036,15.49871465,17.20353982,23.60915493,23.38709677,18.05586592,44.78181818,16.37474542,27.18238994,43.71929825,36.16666667,21.37295082,17.48322148,35.92517007,51.14285714,12.44239631,22.77664975,21.29875519,81.85714286,14.55501223
3/17/2005,21.61650485,106.4833333,24.43884892,120.7142857,12.13550136,9.46656051,42.92857143,21,77.88372093,43.28431373,31.46385542,15.80719794,17.21681416,23.58802817,23.32258065,17.76536313,44.61818182,16.49694501,27.30503145,43.28070175,36.55555556,21.43442623,17.45637584,35.88435374,51.14285714,12.25806452,23.12182741,21.71369295,81.05714286,14.57212714
3/18/2005,21.58737864,113.0166667,24.57553957,122.7428571,12.17886179,9.614649682,42.38095238,20.73,78.67441861,42.84313726,31.63855422,16.10539846,17.20353982,23.67957747,23.23225807,17.82122905,44.2,16.43991853,26.85534591,42.40350877,34.83333333,21.56557377,17.33557047,36.32653061,49.80952381,12.14746544,23.15989848,21.34854772,80.25714286,14.51833741
3/21/2005,21.29611651,111.1666667,24.22302158,124.8571429,12.00542005,9.557324841,42.71428571,20.8,79.02325581,42.38235294,31.31325301,15.97686375,16.80973451,23.53873239,23.09032258,17.69832402,44,16.31364562,26.3836478,43.85964912,35.13888889,99.16981132,17.25503356,35.87755102,49.42857143,11.97695853,23.25634518,21.23236515,80.51428571,14.47188264
3/22/2005,21.24271845,110.6,23.84892086,122.3714286,11.83197832,9.421974522,42.66666667,20.7,78.41860465,42.57843137,31.22891566,15.65552699,16.73451327,23.51760563,22.61935484,17.5698324,43.61818182,16.04887984,25.95597484,43.07017544,34.69444444,98.30188679,17.06040269,35.40816327,48.47619048,11.67281106,23.36294416,21.12033195,79.37142857,14.27383863
3/23/2005,21.65048544,110.45,23.8705036,121.5714286,11.91869919,9.302547771,42.26190476,20.59,78.02325581,42.8627451,31.79518072,15.44730077,16.68141593,24.01408451,22.53548387,17.5698324,43.96363636,15.99185336,25.61006289,44,34.75,98.13207547,17.47651007,35.93877551,48.23809524,11.9124424,23.44670051,21.01659751,79.37142857,14.36185819
3/24/2005,21.81553398,110.9,23.65467626,121.4285714,11.85636856,9.26910828,42.57142857,20.6,77.06976744,42.74509804,31.86746988,15.16709512,16.82743363,23.97535211,22.53548387,17.6424581,44.14545455,16.08553972,26.29559748,44.0877193,34.44444444,97.96226415,17.56375839,35.78231293,47.66666667,11.93548387,23.56598985,21.02074689,79.28571429,14.27628362
3/25/2005,21.81553398,110.9,23.65467626,121.4285714,11.85636856,9.26910828,42.57142857,20.6,77.06976744,42.74509804,31.86746988,15.16709512,16.82743363,23.97535211,22.53548387,17.6424581,44.14545455,16.08553972,26.29559748,44.0877193,34.44444444,97.96226415,17.56375839,35.78231293,47.66666667,11.93548387,23.56598985,21.02074689,79.28571429,14.27628362
3/28/2005,21.93203884,111.85,24.02158273,61.63768116,12.00271003,9.281847134,42.5952381,20.56,78.76744186,43.57843137,31.77710843,15.13881748,17.07522124,24.06690141,22.48387097,17.61452514,44,16.07739308,26.16981132,43.59649123,34.52777778,98.77358491,17.60402685,35.72108844,48.71428571,11.95391705,23.63451777,21.15767635,80.48571429,14.39364303
3/29/2005,22.20873786,110.3666667,24.05035971,60.50724638,11.89430894,9.218152866,42.26190476,20.695,79.76744186,43.56862745,31.1626506,14.97943445,16.67699115,23.91549296,22.30967742,17.32960894,43.49090909,15.83706721,25.68238994,42.63157895,34.11111111,98.66037736,17.20805369,35.27891157,48.23809524,11.640553,23.62944162,21.06639004,79.71428571,14.40831296
3/30/2005,22.69417476,112.8833333,24.69064748,62.02898551,11.9295393,9.277070064,42.92857143,20.975,79.76744186,44.10784314,31.78915663,15.22879177,16.88053097,23.96126761,22.5483871,17.68156425,43.92727273,16.19144603,25.89622642,42.63157895,34.66666667,100.6792453,17.6442953,36.29931973,49.85714286,11.47004608,24.29187817,21.09543569,81,14.59657702
