Data,ABT,ADBE,AMZN,AAPL,BAC,CVX,CSCO,KO,CMCSA,COST,LLY,XOM,HD,JNJ,JPM,MCD,MSFT,NEE,NKE,NVDA,ORCL,PEP,PFE,PG,SCHW,TMO,UNH,WMT,DIS,WFC
12/31/2004,13.50408684,31.36408292,2.209304692,0.965429222,29.56890318,23.87936641,12.56783563,11.12061904,7.618993707,32.64609389,31.01424174,25.67582218,25.83474602,35.02197636,22.28562763,18.2318321,18.536233,5.024091547,8.583820731,0.18001681,10.99837414,29.11288486,11.33830167,30.82815497,8.892948341,28.61262577,34.45510504,11.65275861,22.50517441,17.60039523
1/3/2005,13.50987637,30.83918195,2.220777713,0.94878906,29.23539566,23.1472053,12.56783563,11.09391246,7.525129903,32.30216685,30.74098851,25.0897763,26.05235267,34.73482045,22.36560682,18.09534927,18.55010743,4.966961409,8.583820731,0.180169626,10.7498686,28.96787815,11.15277349,30.88972173,8.669881075,28.12927237,33.90322843,11.76968329,22.54565134,17.5324291
1/4/2005,13.37382234,30.02433567,2.102056892,0.958533299,28.83266959,22.98803984,12.07344872,10.93901431,7.332823571,31.72221145,30.33110866,24.91947236,25.71989806,34.62437587,22.13509296,18.24320567,18.61947955,4.906470675,8.461722057,0.171688359,10.46929783,28.76152245,11.15277349,30.50353024,8.469120535,27.77860421,33.55488078,11.74100365,22.30278975,17.54658871
1/5/2005,13.2203997,29.8593668,2.083600293,0.966928336,28.49916206,23.13811013,12.07995381,10.88827181,7.401504404,31.84359747,30.64808241,24.78923995,25.48415751,34.60228696,22.18119573,18.10103605,18.57785628,4.843291463,8.360446412,0.173292923,10.50136307,28.79498554,11.0768756,30.82255799,8.417071507,27.70278407,33.67230134,11.75644654,22.18135895,17.56641217
1/6/2005,13.51856067,29.36446016,2.047684751,0.967677893,28.4551139,23.52465482,12.26209636,10.97907418,7.390057598,32.30216685,30.89401032,25.10480311,25.10334586,34.70168708,22.30797835,18.24320567,18.55704464,4.921929418,8.350034898,0.171611951,10.59755876,29.00134124,11.0853087,30.9736764,8.558347442,27.72173911,34.41596486,11.92411213,22.2137405,17.62871445
1/7/2005,13.75014201,29.38445639,2.111035777,1.038136237,28.14677675,23.26089492,12.17753017,10.99242747,7.45644907,32.02567649,30.74645357,24.93950812,25.03685494,34.57467581,22.12933011,18.12378319,18.50154693,4.912519748,8.300816827,0.168326415,10.68573814,29.25231438,11.08952525,31.29830112,8.52860514,27.31420585,34.14198356,11.91087537,21.99516506,17.60605908
1/10/2005,13.88330128,29.40445262,2.087092082,1.033788807,28.49916206,23.36548936,12.17753017,11.0538526,7.607546902,32.08636949,31.11807797,25.03467796,25.26655085,34.84526503,22.05441311,18.0100475,18.5917307,4.92932273,8.383162445,0.168708454,10.57350983,29.9829251,11.14855694,31.54456816,8.580654168,27.39002599,34.28680225,11.85130996,22.08421431,17.59473139
1/11/2005,13.62856181,29.05451864,2.077115543,0.967827804,28.42994352,23.37458453,12.12548945,10.99242747,7.605257541,31.91103414,31.16726355,24.96956176,25.21214919,34.72377599,21.84118779,17.68590076,18.54317021,4.872864711,8.343409388,0.163512722,10.58152614,29.82118685,11.02627701,31.51098629,8.3278446,27.3426384,34.25157608,11.82263032,22.02754661,17.56074832
1/12/2005,13.66058107,29.48443753,2.110038123,0.981319828,28.35443238,23.87027124,12.31413708,10.99242747,7.600678819,32.05265116,31.5771434,25.34022325,25.50833603,34.96675407,21.89305341,17.8223836,18.57785628,4.896388885,8.385055447,0.162137382,10.80598276,29.89926738,10.97567841,31.62852283,8.350151327,27.39002599,34.47858915,11.93073051,22.44041132,17.3256988
1/13/2005,13.3986053,29.10450921,2.125002933,1.046381362,28.00204707,23.67472511,12.21656072,10.88025984,7.591521374,32.19426817,30.83389461,25.3201875,25.22423845,34.22125315,21.76627079,17.56647828,18.22405842,4.91991306,8.331104871,0.163818354,10.80598276,29.51444189,10.68051994,31.08001898,8.164261938,27.06779039,34.59992373,11.83366095,22.46469748,17.17277501
1/14/2005,13.46264382,29.10950826,2.222274194,1.052377817,28.24745827,23.78386714,12.28161163,10.94168497,7.685385179,32.55168255,31.28749497,25.58065233,25.32699715,34.62437587,21.78932218,17.80532324,18.12000022,4.922601537,8.419129496,0.164353208,10.92622737,29.46424726,10.64678755,31.27591321,8.268359996,27.71226159,35.05394988,11.91087537,22.90994373,17.18693462
1/17/2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1/18/2005,13.40151614,29.18449412,2.223770675,1.059123829,28.77603623,24.14312632,12.19054036,11.01646339,7.683095818,33.13838161,31.44598185,25.79603672,25.48415751,34.80660943,22.12933011,17.97024,18.25874448,4.979731675,8.395466962,0.166951074,11.04647199,29.83234121,10.6678703,31.33747997,8.469120535,27.83546932,34.75648447,12.02118168,23.26614074,17.40499261
1/19/2005,13.40442698,28.93454127,2.192843402,1.047580653,28.29779902,23.96122293,11.80673999,10.97640352,7.559470319,32.61237555,31.15086836,25.57063446,25.26655085,34.69064262,21.80661072,17.98161357,18.02287924,4.959568097,8.381269442,0.163130683,10.79796645,30.13350898,10.49077522,31.86595559,8.357586902,27.15308805,34.55295551,11.86454672,23.07185146,17.2747242
1/20/2005,13.31710173,29.02952335,2.113031085,1.056275513,28.51174725,23.62924926,11.91732654,11.03782865,7.495368209,32.22798651,30.83935967,25.40533946,24.87364994,34.50840906,21.46660278,17.88493823,17.93963269,4.980403794,8.215631706,0.163512722,10.6456566,29.86580429,10.53294071,31.87719975,8.312973449,28.26195761,33.90714245,11.77409555,23.08804224,17.14445579
1/21/2005,13.38405109,28.52961766,2.053171848,1.056725247,28.37331016,23.63834443,11.71566872,10.92566102,7.543444791,31.36479708,30.2327375,25.26508917,24.72253421,34.15498641,21.23608892,17.77120254,17.79395121,5.014681877,8.168306639,0.163818354,10.66970553,29.87695866,10.32211323,31.28688124,8.141955212,28.37568783,34.77605456,11.694675,22.78851294,17.02551507
