Date,Size,Value,Growth,Momentum,Quality,LowVolatility
2005-06-30,0.99298162,0.99269306,0.99738047,0.99912111,0.99655604,0.99393721
2005-07-01,0.98812434,0.99219823,0.99239409,1.00012164,0.99952722,0.99104497
2005-07-04,0.98812434,0.99219823,0.99239409,1.00012164,0.99952722,0.99104497
2005-07-05,0.98586827,0.99190568,0.99342071,1.00548314,0.99907701,0.98805353
2005-07-06,0.98507294,0.99016349,0.99125175,1.00625634,0.99542202,0.98492530
2005-07-07,0.98193299,0.98897652,0.99192793,1.00702946,0.99602292,0.98258499
2005-07-08,0.98190792,0.98830676,0.99354698,1.00231646,0.99405778,0.98367411
2005-07-11,0.98199567,0.99027681,0.99254299,0.99961460,0.99357967,0.98254047
2005-07-12,0.98408185,0.99114606,0.99900501,0.99788678,0.99792089,0.98465878
2005-07-13,0.98749012,0.99583184,0.99751716,0.99342768,0.99396810,0.98692735
2005-07-14,0.98762253,0.99435262,1.00044172,0.98679329,0.98323312,0.99020838
2005-07-15,0.98511313,0.99820351,1.00143637,0.98634604,0.98157343,0.98893849
2005-07-18,0.98267196,0.99641868,1.00106845,0.98452454,0.98187919,0.98554256
2005-07-19,0.98244026,0.99511311,1.00683633,0.98810881,0.98686444,0.98224582
2005-07-20,0.97795240,0.99471551,1.00473667,0.98468822,0.98648559,0.97816452
2005-07-21,0.97585843,0.99291177,1.00242358,0.97855288,0.98579975,0.98107245
2005-07-22,0.97062963,0.99034718,1.00213152,0.98051929,0.98356044,0.97635880
2005-07-25,0.96929968,0.99263902,1.00173210,0.98324711,0.98386747,0.97511292
2005-07-26,0.96568817,0.98696153,1.00126858,0.98367730,0.98415298,0.97114271
2005-07-27,0.96790139,0.98222533,1.01809700,0.98556284,0.98803791,0.97115907
2005-07-28,0.96550751,0.98096502,1.02315751,0.98869435,0.99060807,0.96891685
2005-07-29,0.96355858,0.98156133,1.01736234,0.98478326,0.98658823,0.96803838
2005-08-01,0.96733680,0.98194731,1.01677432,0.98820826,0.98898653,0.96960101
2005-08-02,0.97003714,0.98844333,1.01712477,0.99222893,0.98467868,0.97247869
2005-08-03,0.96908680,0.98871758,1.01284328,0.99201026,0.98264623,0.97462352
2005-08-04,0.96942381,0.98886967,1.01243316,0.99210604,0.97872709,0.97665025
2005-08-05,0.97275687,0.99485602,1.01595587,0.99509311,0.98381098,0.97877628
2005-08-08,0.97206795,0.99975744,1.01730562,0.99527831,0.98513776,0.97303754
2005-08-09,0.97209279,0.99522101,1.01667235,0.99807484,0.98397497,0.97147093
2005-08-10,0.96297412,0.99744876,1.00436077,0.99933933,0.98530130,0.96817185
2005-08-11,0.95945160,0.99989409,1.00369953,1.00038038,0.98710477,0.96522179
2005-08-12,0.95806751,0.99805399,1.01052616,1.01604596,0.99609080,0.96496751
2005-08-15,0.95857484,0.99999964,1.01541688,1.02001209,0.99625727,0.96772416
2005-08-16,0.96090809,1.00110901,1.01357552,1.01569962,0.99307334,0.97086785
2005-08-17,0.96061079,0.99847168,1.02008237,1.01346913,0.99265366,0.96956649
2005-08-18,0.96257259,0.99912279,1.01597549,1.00797835,0.99103278,0.97367760
2005-08-19,0.96036190,1.00038305,1.01372076,1.00625432,0.99097548,0.97317096
2005-08-22,0.95991433,1.00080092,1.01334274,1.00925595,0.99030353,0.97660918
2005-08-23,0.95917365,1.00069162,1.01535511,1.01231667,0.99533836,0.97719008
2005-08-24,0.95666131,1.00204891,1.01671087,1.01361662,0.99840462,0.97430259
2005-08-25,0.95668293,1.00409337,1.01413440,1.01453534,0.99779703,0.97566825
2005-08-26,0.95824984,1.00521127,1.01519052,1.01376719,0.99553084,0.97645261
2005-08-29,0.96078350,1.00402343,1.01434937,1.01319438,0.99615776,0.97919159
2005-08-30,0.96046703,1.00295625,1.01564635,1.02187434,1.00017017,0.97631002
2005-08-31,0.95857462,1.00147587,1.01214074,1.02426896,1.00167241,0.97269826
2005-09-01,0.96038946,1.00507147,1.00729307,1.03074395,1.00576823,0.97389685
2005-09-02,0.95997232,1.00402119,1.00694186,1.02921433,1.00116431,0.97300862
2005-09-05,0.95997232,1.00402119,1.00694186,1.02921433,1.00116431,0.97300862
2005-09-06,0.96148659,1.00151852,1.01580351,1.03262537,1.00227637,0.97392386
2005-09-07,0.96462903,0.99933728,1.01443839,1.03902327,1.00821562,0.97520671
2005-09-08,0.96488837,1.00086876,1.01649999,1.04542103,1.00868521,0.97235868
2005-09-09,0.96382450,1.00251013,1.01563980,1.05337816,1.00879797,0.96843652
2005-09-12,0.96085678,1.00269044,1.01871156,1.04977574,1.00714639,0.96764908
2005-09-13,0.95741695,1.00242490,1.01586001,1.05159720,1.00835038,0.96925052
2005-09-14,0.95749849,0.99924065,1.01035876,1.05053706,1.01036495,0.97070652
2005-09-15,0.95668158,1.00232550,1.00837311,1.05261112,1.01120664,0.96926401
2005-09-16,0.95933852,1.00395286,1.02301725,1.05478806,1.01768504,0.96880167
2005-09-19,0.96007085,1.01532063,1.02302329,1.06045378,1.01799822,0.96924117
2005-09-20,0.96222511,1.01453695,1.01852923,1.06575459,1.01786640,0.96863414
2005-09-21,0.96418146,1.01372918,1.02142167,1.06997557,1.02404616,0.96554361
2005-09-22,0.96518488,1.02080554,1.02571771,1.06513541,1.01991402,0.96374731
2005-09-23,0.95899449,1.00748896,1.02877874,1.07066194,1.01896398,0.96412397
2005-09-26,0.95886223,1.01050967,1.02972282,1.07330566,1.01815932,0.96097254
2005-09-27,0.95623440,1.01029517,1.02872794,1.07330638,1.02030351,0.96227247
2005-09-28,0.95785743,1.00982186,1.02359095,1.07129715,1.02120871,0.96554158
2005-09-29,0.95712279,1.01022841,1.02824795,1.07645202,1.02453491,0.96966717
2005-09-30,0.95417568,1.00770897,1.03277690,1.07686065,1.02182688,0.96619264
2005-10-03,0.95289686,1.00630868,1.03705558,1.08639419,1.02573105,0.96608616
2005-10-04,0.95199737,1.00701852,1.04041249,1.08198669,1.03053700,0.97050301
2005-10-05,0.95457243,1.01450226,1.04371424,1.08276627,1.03039496,0.97817671
2005-10-06,0.95351249,1.02219404,1.04723904,1.07305038,1.02882671,0.98337586
2005-10-07,0.95225691,1.02329955,1.04436029,1.06838840,1.02432552,0.97654215
2005-10-10,0.95510250,1.02261159,1.04591475,1.06346798,1.02377680,0.98013445
2005-10-11,0.96101717,1.02590417,1.04891280,1.06511609,1.02745871,0.97886996
2005-10-12,0.96649516,1.02545735,1.04343883,1.05822699,1.03260334,0.98780133
2005-10-13,0.96866644,1.02653666,1.05034447,1.06526211,1.03300605,0.99112410
2005-10-14,0.96214021,1.02429263,1.05543548,1.06640245,1.03399734,0.98483460
2005-10-17,0.95745810,1.02414638,1.05587035,1.06860133,1.03429738,0.97912524
2005-10-18,0.95487903,1.01862476,1.05212514,1.06369953,1.03141836,0.98442565
2005-10-19,0.95641301,1.02386628,1.06597111,1.06627165,1.03086997,0.98284773
