Date,Size,Value,Growth,Momentum,Quality,LowVolatility
2005-06-30,-0.0070183822,-0.0073069422,-0.0026195315,-0.0008788876,-0.0034439565,-0.0060627926
2005-07-01,-0.0048916040,-0.0004984736,-0.0049994703,0.0010014109,0.0029814440,-0.0029098745
2005-07-04,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2005-07-05,-0.0022831899,-0.0002948425,0.0010344845,0.0053608469,-0.0004504238,-0.0030184783
2005-07-06,-0.0008067346,-0.0017564159,-0.0021833263,0.0007689844,-0.0036583684,-0.0031660482
2005-07-07,-0.0031875306,-0.0011987572,0.0006821515,0.0007683098,0.0006036678,-0.0023761273
2005-07-08,-0.0000255232,-0.0006772268,0.0016322256,-0.0046801035,-0.0019729923,0.0011084183
2005-07-11,0.0000893619,0.0019933652,-0.0010105177,-0.0026956178,-0.0004809638,-0.0011524496
2005-07-12,0.0021244347,0.0008777827,0.0065105705,-0.0017284813,0.0043692687,0.0021559490
2005-07-13,0.0034633926,0.0047276324,-0.0014893255,-0.0044685438,-0.0039610184,0.0023039098
2005-07-14,0.0001340964,-0.0014854065,0.0029318370,-0.0066782774,-0.0108001292,0.0033244957
2005-07-15,-0.0025408582,0.0038727614,0.0009942078,-0.0004532395,-0.0016879965,-0.0012824492
2005-07-18,-0.0024780561,-0.0017880468,-0.0003673906,-0.0018467156,0.0003115029,-0.0034339143
2005-07-19,-0.0002357818,-0.0013102595,0.0057617276,0.0036406129,0.0050772570,-0.0033451017
2005-07-20,-0.0045680809,-0.0003995494,-0.0020854104,-0.0034617556,-0.0003838903,-0.0041550736
2005-07-21,-0.0021411766,-0.0018133272,-0.0023021826,-0.0062307465,-0.0006952441,0.0029728478
2005-07-22,-0.0053581489,-0.0025828922,-0.0002913490,0.0020095080,-0.0022715575,-0.0048045891
2005-07-25,-0.0013701934,0.0023141748,-0.0003985743,0.0027820197,0.0003121550,-0.0012760526
2005-07-26,-0.0037258993,-0.0057195946,-0.0004627173,0.0004375207,0.0002901898,-0.0040715369
2005-07-27,0.0022918608,-0.0047987717,0.0168070934,0.0019168230,0.0039474927,0.0000168465
2005-07-28,-0.0024732757,-0.0012831117,0.0049705626,0.0031773819,0.0026012734,-0.0023088030
2005-07-29,-0.0020185531,0.0006078776,-0.0056640073,-0.0039558141,-0.0040579519,-0.0009066518
2005-08-01,0.0039211076,0.0003932334,-0.0005779819,0.0034779282,0.0024309022,0.0016142193
2005-08-02,0.0027915200,0.0066154437,0.0003446648,0.0040686399,-0.0043558204,0.0029679004
2005-08-03,-0.0009796917,0.0002774621,-0.0042094018,-0.0002203779,-0.0020640790,0.0022055307
2005-08-04,0.0003477632,0.0001538214,-0.0004049246,0.0000965484,-0.0039883485,0.0020795055
2005-08-05,0.0034381872,0.0060537318,0.0034794543,0.0030108442,0.0051943861,0.0021768502
2005-08-08,-0.0007082203,0.0049267599,0.0013285545,0.0001861066,0.0013486129,-0.0058631764
2005-08-09,0.0000255615,-0.0045375318,-0.0006225030,0.0028097972,-0.0011803320,-0.0016100166
2005-08-10,-0.0093804506,0.0022384496,-0.0121096854,0.0012669265,0.0013479338,-0.0033959618
2005-08-11,-0.0036579617,0.0024515884,-0.0006583624,0.0010417407,0.0018303754,-0.0030470452
2005-08-12,-0.0014425860,-0.0018402991,0.0068014679,0.0156596249,0.0091034209,-0.0002634436
2005-08-15,0.0005295357,0.0019494442,0.0048397765,0.0039034909,0.0001671213,0.0028567289
2005-08-16,0.0024340800,0.0011093673,-0.0018134055,-0.0042278524,-0.0031958967,0.0032485367
2005-08-17,-0.0003093961,-0.0026344069,0.0064196956,-0.0021960146,-0.0004225999,-0.0013404091
2005-08-18,0.0020422485,0.0006521102,-0.0040260296,-0.0054178144,-0.0016328774,0.0042401566
2005-08-19,-0.0022966474,0.0012613682,-0.0022192695,-0.0017103758,-0.0000578244,-0.0005203337
2005-08-22,-0.0004660483,0.0004177080,-0.0003729085,0.0029829669,-0.0006780665,0.0035330009
2005-08-23,-0.0007716101,-0.0001092104,0.0019858725,0.0030326563,0.0050841264,0.0005948124
2005-08-24,-0.0026192784,0.0013563526,0.0013352579,0.0012841322,0.0030806202,-0.0029548848
2005-08-25,0.0000226074,0.0020402815,-0.0025341221,0.0009063769,-0.0006085518,0.0014016762
2005-08-26,0.0016378561,0.0011133413,0.0010414058,-0.0007571466,-0.0022711992,0.0008039230
2005-08-29,0.0026440432,-0.0011816833,-0.0008285660,-0.0005650345,0.0006297394,0.0028050305
2005-08-30,-0.0003293878,-0.0010629062,0.0012786291,0.0085669283,0.0040278778,-0.0029428098
2005-08-31,-0.0019702999,-0.0014760196,-0.0034516061,0.0023433618,0.0015019865,-0.0036993921
2005-09-01,0.0018932701,0.0035903102,-0.0047895227,0.0063215704,0.0040889872,0.0012322278
2005-09-02,-0.0004343405,-0.0010449896,-0.0003486623,-0.0014839916,-0.0045775223,-0.0009120374
2005-09-05,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2005-09-06,0.0015774110,-0.0024926428,0.0088005583,0.0033142143,0.0011107659,0.0009406365
2005-09-07,0.0032683112,-0.0021779289,-0.0013438822,0.0061957632,0.0059257667,0.0013171942
2005-09-08,0.0002688492,0.0015324873,0.0020322610,0.0061574686,0.0004657620,-0.0029204373
2005-09-09,-0.0011025814,0.0016399533,-0.0008462327,0.0076114143,0.0001117897,-0.0040336553
2005-09-12,-0.0030791157,0.0001798515,0.0030244567,-0.0034198756,-0.0016371767,-0.0008131047
2005-09-13,-0.0035799559,-0.0002648191,-0.0027991732,0.0017350957,0.0011954473,0.0016549760
