Date,Size,Value,Growth,Momentum,Quality,LowVolatility
2005-06-30,-0.0141109945,-0.0143995545,-0.0097121439,-0.0079714999,-0.0105365689,-0.0131554050
2005-07-01,-0.0022810763,0.0021120541,-0.0023889425,0.0036119386,0.0055919717,-0.0002993468
2005-07-04,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2005-07-05,0.0065494011,0.0085377485,0.0098670755,0.0141934379,0.0083821672,0.0058141127
2005-07-06,-0.0091470528,-0.0100967341,-0.0105236445,-0.0075713338,-0.0119986865,-0.0115063663
2005-07-07,-0.0007438932,0.0012448801,0.0031257889,0.0032119471,0.0030473051,0.0000675100
2005-07-08,0.0116536380,0.0110019344,0.0133113868,0.0069990577,0.0097061689,0.0127875794
2005-07-11,0.0063525132,0.0082565166,0.0052526336,0.0035675336,0.0057821876,0.0051107017
2005-07-12,0.0043959692,0.0031493171,0.0087821050,0.0005430532,0.0066408032,0.0044274834
2005-07-13,0.0043470378,0.0056112776,-0.0006056803,-0.0035848986,-0.0030773732,0.0031875550
2005-07-14,0.0027581675,0.0011386647,0.0055559081,-0.0040542063,-0.0081760580,0.0059485668
2005-07-15,-0.0013830922,0.0050305274,0.0021519738,0.0007045265,-0.0005302305,-0.0001246832
2005-07-18,-0.0080077323,-0.0073177230,-0.0058970668,-0.0073763918,-0.0052181733,-0.0089635905
2005-07-19,0.0064874991,0.0054130214,0.0124850085,0.0103638938,0.0118005379,0.0033781792
2005-07-20,0.0001987045,0.0043672360,0.0026813751,0.0013050298,0.0043828951,0.0006117119
2005-07-21,-0.0087473942,-0.0084195448,-0.0089084002,-0.0128369641,-0.0073014617,-0.0036333698
2005-07-22,0.0000532476,0.0028285043,0.0051200475,0.0074209046,0.0031398390,0.0006068074
2005-07-25,-0.0051394042,-0.0014550360,-0.0041677852,-0.0009871911,-0.0034570558,-0.0050452634
2005-07-26,-0.0019928252,-0.0039865205,0.0012703567,0.0021705947,0.0020232639,-0.0023384629
2005-07-27,0.0068647839,-0.0002258486,0.0213800165,0.0064897461,0.0085204158,0.0045897696
2005-07-28,0.0031299391,0.0043201031,0.0105737773,0.0087805967,0.0082044882,0.0032944118
2005-07-29,-0.0096890898,-0.0070626592,-0.0133345441,-0.0116263508,-0.0117284887,-0.0085771886
2005-08-01,0.0048610029,0.0013331287,0.0003619134,0.0044178235,0.0033707975,0.0025541146
2005-08-02,0.0098907802,0.0137147038,0.0074439249,0.0111679001,0.0027434398,0.0100671605
2005-08-03,-0.0002321694,0.0010249845,-0.0034618795,0.0005271445,-0.0013165567,0.0029530530
2005-08-04,-0.0070335257,-0.0072274676,-0.0077862135,-0.0072847406,-0.0113696374,-0.0053017834
2005-08-05,-0.0041921887,-0.0015766441,-0.0041509215,-0.0046195317,-0.0024359897,-0.0054535256
2005-08-08,-0.0033908250,0.0022441552,-0.0013540502,-0.0024964981,-0.0013339917,-0.0085457811
2005-08-09,0.0067705518,0.0022074585,0.0061224873,0.0095547875,0.0055646583,0.0051349737
2005-08-10,-0.0112076688,0.0004112314,-0.0139369036,-0.0005602917,-0.0004792845,-0.0052231801
2005-08-11,0.0034039438,0.0095134940,0.0064035432,0.0081036463,0.0088922809,0.0040148604
2005-08-12,-0.0074370440,-0.0078347571,0.0008070099,0.0096651670,0.0031089630,-0.0062579016
2005-08-15,0.0033497797,0.0047696882,0.0076600205,0.0067237349,0.0029873653,0.0056769728
2005-08-16,-0.0093419724,-0.0106666851,-0.0135894579,-0.0160039048,-0.0149719491,-0.0085275157
2005-08-17,0.0004369154,-0.0018880954,0.0071660071,-0.0014497031,0.0003237116,-0.0005940976
2005-08-18,0.0010424452,-0.0003476931,-0.0050258329,-0.0064176177,-0.0026326807,0.0032403533
2005-08-19,-0.0017306189,0.0018273967,-0.0016532410,-0.0011443474,0.0005082040,0.0000456948
2005-08-22,0.0011900831,0.0020738393,0.0012832228,0.0046390983,0.0009780649,0.0051891323
2005-08-23,-0.0041684326,-0.0035060330,-0.0014109500,-0.0003641662,0.0016873039,-0.0028020102
2005-08-24,-0.0091896886,-0.0052140576,-0.0052351523,-0.0052862780,-0.0034897899,-0.0095252950
2005-08-25,0.0023209258,0.0043386000,-0.0002358037,0.0032046953,0.0016897666,0.0036999946
2005-08-26,-0.0043587126,-0.0048832274,-0.0049551629,-0.0067537153,-0.0082677678,-0.0051926457
2005-08-29,0.0086104025,0.0047846761,0.0051377933,0.0054013249,0.0065960987,0.0087713898
2005-08-30,-0.0035217196,-0.0042552380,-0.0019137027,0.0053745965,0.0008355460,-0.0061351416
2005-08-31,0.0078939018,0.0083881821,0.0064125957,0.0122075635,0.0113661882,0.0061648096
2005-09-01,0.0029175832,0.0046146233,-0.0037652096,0.0073458835,0.0051133003,0.0022565409
2005-09-02,-0.0033485991,-0.0039592482,-0.0032629209,-0.0043982502,-0.0074917809,-0.0038262960
2005-09-05,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2005-09-06,0.0141962514,0.0101261977,0.0214193987,0.0159330547,0.0137296063,0.0135594769
2005-09-07,0.0056682010,0.0002219608,0.0010560075,0.0085956529,0.0083256565,0.0037170839
2005-09-08,-0.0035083983,-0.0022447602,-0.0017449866,0.0023802210,-0.0033114855,-0.0066976848
2005-09-09,0.0068540307,0.0095965655,0.0071103794,0.0155680264,0.0080684018,0.0039229568
2005-09-12,-0.0038201667,-0.0005611995,0.0022834057,-0.0041609266,-0.0023782277,-0.0015541557
2005-09-13,-0.0111249356,-0.0078097988,-0.0103441529,-0.0058098840,-0.0063495324,-0.0058900036
2005-09-14,-0.0031961830,-0.0064579023,-0.0086967127,-0.0042894764,-0.0012834699,-0.0017791539
2005-09-15,-0.0003886844,0.0035516833,-0.0015008055,0.0024387772,0.0012975423,-0.0010215571
2005-09-16,0.0110689725,0.0099153099,0.0228142694,0.0103598604,0.0146983332,0.0078147261
2005-09-19,-0.0048024702,0.0057571729,-0.0055599265,-0.0001944068,-0.0052580950,-0.0051121837
2005-09-20,-0.0056276638,-0.0086433775,-0.0122644440,-0.0028728957,-0.0080010069,-0.0084978132
2005-09-21,-0.0070798636,-0.0099092120,-0.0062731992,-0.0051524595,-0.0030417315,-0.0123036271
2005-09-22,0.0046847265,0.0106245553,0.0078499709,-0.0008795895,-0.0003910813,0.0017836264
2005-09-23,-0.0058538375,-0.0124853170,0.0035441346,0.0057484184,-0.0003716429,0.0009506840
2005-09-26,0.0001418506,0.0032780194,0.0011974306,0.0027490062,-0.0005099159,-0.0029889278
2005-09-27,-0.0027158894,-0.0001875832,-0.0009414762,0.0000253501,0.0021306280,0.0013773920
2005-09-28,0.0027091109,0.0005433070,-0.0039817388,-0.0008602068,0.0018989822,0.0044090845
2005-09-29,0.0080999055,0.0092694576,0.0134165315,0.0136786655,0.0121239817,0.0131396900
2005-09-30,-0.0021587007,-0.0015734910,0.0053249692,0.0013000452,-0.0017227404,-0.0026627845
2005-10-03,-0.0030573401,-0.0031066937,0.0024257734,0.0071359757,0.0021036666,-0.0018273118
2005-10-04,-0.0109137994,-0.0092644389,-0.0067328715,-0.0140268301,-0.0052844476,-0.0053979413
2005-10-05,-0.0121822461,-0.0074555778,-0.0117136572,-0.0141666442,-0.0150249862,-0.0069802211
2005-10-06,-0.0052060343,0.0034861783,-0.0007184824,-0.0130688644,-0.0056176413,0.0012194868
2005-10-07,0.0023844476,0.0047827504,0.0009523545,-0.0006433579,-0.0006738274,-0.0032479808
2005-10-10,-0.0041778858,-0.0078384433,-0.0056777150,-0.0117716114,-0.0077018370,-0.0034875610
2005-10-11,0.0041124072,0.0011394699,0.0007861345,-0.0005305465,0.0015160974,-0.0033704153
2005-10-12,-0.0003595928,-0.0064953172,-0.0112784885,-0.0125277284,-0.0010526432,0.0030643730
2005-10-13,0.0015248012,0.0003307541,0.0058963931,0.0059262726,-0.0003317648,0.0026420408
2005-10-14,0.0015306404,0.0060819507,0.0131149658,0.0093384550,0.0092275891,0.0019221589
2005-10-17,-0.0018913675,0.0028322045,0.0033870118,0.0050369439,0.0032651682,-0.0028222968
2005-10-18,-0.0127349228,-0.0154326852,-0.0135882918,-0.0146283739,-0.0128248097,-0.0046278460
2005-10-19,0.0165622473,0.0201014589,0.0281157799,0.0173738645,0.0144240870,0.0133528991
2005-10-20,-0.0224490361,-0.0189816812,-0.0116301623,-0.0090027046,-0.0109171222,-0.0135009401
2005-10-21,-0.0011370652,0.0041938452,0.0033339451,0.0036783769,0.0028679781,-0.0049286725
2005-10-24,0.0133557771,0.0180753036,0.0194958499,0.0211249937,0.0183060251,0.0108259357
2005-10-25,0.0000461461,0.0011997438,-0.0026428778,-0.0043375552,0.0006137701,0.0006214204
2005-10-26,-0.0050797419,-0.0069525023,-0.0159403172,-0.0266347541,-0.0066193098,-0.0043191829
2005-10-27,-0.0090389503,-0.0094105641,-0.0171556509,-0.0108765124,-0.0148286514,-0.0043211947
2005-10-28,0.0180549541,0.0159310678,0.0095258213,0.0140478113,0.0179841098,0.0171787552
2005-10-31,0.0049635995,0.0027825123,0.0137213792,0.0201610560,0.0046963356,0.0012065460
2005-11-01,-0.0013272375,0.0030048685,0.0040493438,-0.0027098176,-0.0012910455,-0.0040532233
2005-11-02,0.0093271379,0.0106060088,0.0131203961,0.0178149127,0.0101374368,0.0059841762
2005-11-03,0.0051076727,0.0066890636,0.0011793914,0.0029900040,0.0013584437,-0.0042471376
2005-11-04,0.0000049626,0.0011871321,-0.0036394476,-0.0071107551,-0.0078679450,0.0004755000
2005-11-07,0.0016516633,0.0034854843,-0.0031661449,-0.0058982878,-0.0015151707,0.0005474935
2005-11-08,-0.0018361548,0.0001193632,-0.0010789383,-0.0006860761,-0.0057937209,-0.0048270991
2005-11-09,0.0029774035,-0.0022205905,-0.0020526160,0.0032562902,0.0054077543,0.0054674361
2005-11-10,0.0047445790,0.0051240760,0.0085128279,0.0077674144,-0.0008964953,0.0123437435
2005-11-11,0.0020493569,0.0072173059,0.0069631071,0.0070882099,0.0058524232,0.0002606079
2005-11-14,-0.0013508394,0.0001944890,-0.0108912334,-0.0027405734,-0.0048591114,-0.0041436800
2005-11-15,0.0000648695,-0.0074449805,0.0055509630,0.0044640340,0.0056932597,-0.0016376483
2005-11-16,0.0033138983,-0.0008879245,0.0054081401,0.0084909041,0.0014513913,-0.0045258760
2005-11-17,0.0051315688,0.0090996259,0.0102231900,0.0164374539,0.0077044027,0.0045129530
2005-11-18,0.0058307772,-0.0019859250,0.0040345849,0.0064200084,0.0022654599,0.0058893451
2005-11-21,0.0043391224,0.0034828927,0.0010190160,0.0050672444,0.0017394485,0.0019137041
2005-11-22,-0.0003734269,0.0042277251,0.0043154924,0.0059410180,0.0034805264,0.0015750772
2005-11-23,0.0048431903,0.0100246508,0.0051697277,0.0011429265,0.0013598444,0.0068483758
2005-11-24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2005-11-25,0.0017515024,0.0014786526,0.0051961154,0.0057767208,0.0029554644,0.0042226616
2005-11-28,-0.0074274763,-0.0066572234,-0.0072196912,-0.0068642990,-0.0101886528,-0.0039913494
2005-11-29,-0.0023921662,0.0019107648,-0.0061558148,-0.0046421486,-0.0101822532,0.0009435095
2005-11-30,-0.0074772442,-0.0078785247,-0.0053203880,-0.0015754814,-0.0022173217,-0.0109160482
2005-12-01,0.0074870321,0.0096500784,0.0148553276,0.0191104343,0.0115378063,0.0066583650
2005-12-02,0.0006998856,0.0012126090,0.0113958151,0.0029747886,0.0062219769,0.0006955308
2005-12-05,-0.0004362796,0.0017606720,-0.0011191744,-0.0042739058,-0.0021025000,0.0000304561
2005-12-06,-0.0010118128,0.0037658035,0.0089362447,0.0059482772,0.0044203386,-0.0029865311
2005-12-07,-0.0058456996,-0.0024777012,-0.0028003408,-0.0078592995,-0.0053154236,-0.0061413572
2005-12-08,0.0007057749,-0.0050337020,-0.0046785213,-0.0019913571,-0.0015801522,-0.0026855922
2005-12-09,-0.0019552756,-0.0001203035,0.0000922502,0.0050619896,-0.0028437860,-0.0005030860
2005-12-12,0.0032736395,0.0001068049,0.0012731472,0.0015158474,0.0037169098,-0.0009838807
2005-12-13,0.0127051881,0.0053604573,0.0000248773,0.0091173785,0.0006527947,0.0136522217
2005-12-14,0.0081645793,0.0075306086,-0.0006698461,-0.0002942140,0.0023664095,0.0078829769
2005-12-15,-0.0039591096,-0.0035541511,0.0026587222,-0.0046973759,-0.0006855369,-0.0000499105
2005-12-16,-0.0056822922,-0.0082813427,0.0071174423,-0.0043684505,0.0120672966,0.0002582320
2005-12-19,0.0052890061,-0.0072169643,-0.0056679465,-0.0085520155,-0.0054656027,0.0074780993
2005-12-20,-0.0024845349,-0.0001638134,-0.0010921079,0.0042773580,-0.0046178460,-0.0044076474
2005-12-21,0.0007227376,0.0015148512,0.0030103028,0.0020233692,-0.0007810117,0.0009341611
2005-12-22,0.0011846263,0.0024651142,0.0045160143,0.0047521262,0.0042435648,0.0040630565
2005-12-23,-0.0005363651,0.0015580079,-0.0005673088,-0.0035784314,-0.0000976265,-0.0001356956
2005-12-26,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2005-12-27,-0.0116653249,-0.0098767803,-0.0075911362,-0.0046534690,-0.0094033550,-0.0072330549
2005-12-28,0.0010759216,0.0016252689,-0.0008415110,0.0022825366,0.0032058381,-0.0025872801
