Date,Size,Value,Growth,Momentum,Quality,LowVolatility
2004-12-31,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
2005-01-03,0.99530027,0.98631767,1.00000000,0.98965061,1.00000000,1.00000000
2005-01-04,0.98594598,0.98006353,1.00000000,0.96950788,1.00000000,1.00000000
2005-01-05,0.98462303,0.97527447,1.00000000,0.96861424,1.00000000,1.00000000
2005-01-06,0.99049317,0.98235199,1.00000000,0.97212375,1.00000000,1.00000000
2005-01-07,0.98727685,0.97673300,1.00000000,0.98217347,1.00000000,1.00000000
2005-01-10,0.99098917,0.98009955,1.00000000,0.98588501,1.00000000,1.00000000
2005-01-11,0.98663732,0.97418858,1.00000000,0.97373529,1.00000000,1.00000000
2005-01-12,0.99181977,0.97740325,1.00000000,0.98291881,1.00000000,1.00000000
2005-01-13,0.97863209,0.96777561,1.00000000,0.98466607,1.00000000,1.00000000
2005-01-14,0.98310925,0.97475707,1.00000000,0.99545599,1.00000000,1.00000000
2005-01-17,0.98310925,0.97475707,1.00000000,0.99545599,1.00000000,1.00000000
2005-01-18,0.98982183,0.98440209,1.00000000,1.00090303,1.00000000,1.00000000
2005-01-19,0.97877538,0.97471729,1.00000000,0.98747375,1.00000000,1.00000000
2005-01-20,0.97679034,0.97785573,1.00000000,0.98214987,1.00000000,1.00000000
2005-01-21,0.96575502,0.97323164,1.00000000,0.97321692,1.00000000,1.00000000
2005-01-24,0.96383832,0.97628034,1.00000000,0.96821400,1.00000000,1.00000000
2005-01-25,0.97186059,0.98084940,1.00000000,0.97439536,1.00000000,1.00000000
2005-01-26,0.97506013,0.98738664,1.00000000,0.97965109,1.00000000,1.00000000
2005-01-27,0.97681370,0.98821798,1.00000000,0.98387320,1.00000000,1.00000000
2005-01-28,0.97117018,0.98431072,1.00000000,0.98059535,1.00000000,1.00000000
2005-01-31,0.97306184,0.99293577,1.00000000,0.99320967,1.00000000,1.00000000
2005-02-01,0.97833085,0.99811326,1.00000000,0.99552631,1.00000000,1.00000000
2005-02-02,0.98420029,1.00200482,1.00000000,1.00832292,1.00000000,1.00000000
2005-02-03,0.97839995,0.99310765,1.00000000,0.98682319,1.00000000,1.00000000
2005-02-04,0.98614216,1.00687047,1.00000000,0.99319783,1.00000000,1.00000000
2005-02-07,0.99085292,1.01222252,1.00000000,0.99136065,1.00000000,1.00000000
2005-02-08,0.99379315,1.01804723,1.00000000,0.99627216,1.00000000,1.00000000
2005-02-09,0.98309714,1.00787113,1.00000000,0.98248720,1.00000000,1.00000000
2005-02-10,0.98491924,1.01239386,1.00000000,0.98637785,1.00000000,1.00000000
2005-02-11,0.98715295,1.01448916,1.00000000,0.99789519,1.00000000,1.00000000
2005-02-14,0.99243179,1.02262307,1.00000000,1.00565212,1.00000000,1.00000000
2005-02-15,0.99427157,1.02225064,1.00000000,1.01947100,1.00000000,1.00000000
